ECO_ID,ECO_NAME,plant_diversity,GBIF_records,Observed_species,Chao1,Sampling_completeness,Sampling_completeness_percent
41001.0,Kinabalu montane alpine meadows,4236.412002208782,8193,1295,1992.508097165992,0.6499346235239495,64.99346235239494
61312.0,Motagua Valley thornscrub,3673.7054752127115,5862,991,1401.402857142857,0.7071485511456888,70.71485511456888
40302.0,Luzon tropical pine forests,3628.448206136035,8428,1718,2505.226837060703,0.6857662446310333,68.57662446310333
60177.0,Veracruz montane forests,3580.2672070574195,1987,590,975.875,0.6045856282823108,60.45856282823108
60112.0,Central American montane forests,3460.7431822171106,4365,1462,2383.4615384615386,0.6133935775375181,61.33935775375181
40130.0,Mindoro rain forests,3419.0,9091,1476,2166.6805555555557,0.6812264023948564,68.12264023948565
60113.0,Chiapas montane forests,3398.3302300521623,1133,510,961.8368421052631,0.5302354595647583,53.02354595647583
60146.0,Oaxacan montane forests,3376.6668612861076,1971,689,1291.2545454545457,0.5335896027823539,53.35896027823539
40159.0,Sumatran montane rain forests,3330.308788388604,139,103,504.3888888888889,0.20420751184051106,20.420751184051106
60305.0,Hispaniolan pine forests,3258.7165509165156,4439,1207,1883.271028037383,0.6409061585033001,64.09061585033001
