ECO_ID,ECO_NAME,GBIF_records,Observed_species,Singletons,Doubletons,Chao1,Sampling_completeness,Sampling_completeness_percent
61312.0,Motagua Valley thornscrub,5862,991,379,175,1401.402857142857,0.7071485511456888,70.71485511456888
40302.0,Luzon tropical pine forests,8428,1718,702,313,2505.226837060703,0.6857662446310333,68.57662446310333
40130.0,Mindoro rain forests,9091,1476,669,324,2166.6805555555557,0.6812264023948564,68.12264023948565
41001.0,Kinabalu montane alpine meadows,8193,1295,587,247,1992.508097165992,0.6499346235239495,64.99346235239494
60305.0,Hispaniolan pine forests,4439,1207,538,214,1883.271028037383,0.6409061585033001,64.09061585033001
60112.0,Central American montane forests,4365,1462,726,286,2383.4615384615386,0.6133935775375181,61.33935775375181
60177.0,Veracruz montane forests,1987,590,294,112,975.875,0.6045856282823108,60.45856282823108
60146.0,Oaxacan montane forests,1971,689,364,110,1291.2545454545457,0.5335896027823539,53.35896027823539
60113.0,Chiapas montane forests,1133,510,293,95,961.8368421052631,0.5302354595647583,53.02354595647583
40159.0,Sumatran montane rain forests,139,103,85,9,504.3888888888889,0.20420751184051106,20.420751184051106
